City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
174,Fayaoue,NC,76.55,broken clouds,-20.65,166.5333,Chez Dydyce Guesthouse
175,Perevolotskiy,RU,80.35,overcast clouds,51.8763,54.1938,GRAND OASIS
176,El Carmen De Bolivar,CO,85.73,overcast clouds,9.7174,-75.1202,Donde Mery
177,Houlton,US,89.73,clear sky,46.1262,-67.8403,Ivey's Motor Lodge Houlton
180,Ahuimanu,US,76.75,light rain,21.4447,-157.8378,Paradise Bay Resort
181,Arraial Do Cabo,BR,78.76,scattered clouds,-22.9661,-42.0278,Pousada Porto Praia
182,Eau Claire,US,86.92,clear sky,44.8114,-91.4985,Hampton Inn Eau Claire
183,Colares,PT,80.26,few clouds,38.7992,-9.4469,Arribas Sintra Hotel
184,Hamilton,US,77.76,overcast clouds,39.1834,-84.5333,Six Acres Bed & Breakfast
186,Puri,IN,82.92,broken clouds,19.8,85.85,OYO 1577 Hotel Shree Hari Grand
187,Butaritari,KI,81.82,light rain,3.0707,172.7902,Isles Sunset Lodge
190,Caravelas,BR,77.95,scattered clouds,-17.7125,-39.2481,Pousada dos Navegantes
191,Port Blair,IN,80.64,mist,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
198,Sinnamary,GF,82.45,broken clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
202,Ipixuna,BR,86.85,scattered clouds,-1.7625,-48.8043,Chalé do Mato
205,Vila Velha,BR,82.35,few clouds,-20.3297,-40.2925,Hotel Vitória Palace
206,Muros,ES,76.68,clear sky,42.7762,-9.0603,Apartment Av. Castelao
208,Mino,JP,80.91,moderate rain,34.8269,135.4706,Ooedo Onsen Monogatari Minoh Kankō Hotel
211,Megyaszo,HU,81.54,scattered clouds,48.1833,21.05,Gőcze Vadászház
212,Muroto,JP,80.02,overcast clouds,33.2833,134.15,Oota Ryokan
213,Hirara,JP,84.63,overcast clouds,24.8,125.2833,Hotel Atoll Emerald Miyakojima
217,Hudson Bay,CA,78.04,clear sky,52.85,-102.3842,Norwood Motel LTD
219,Lamu,KE,77.22,broken clouds,-2.2717,40.902,Lamu House
221,Tutoia,BR,83.3,broken clouds,-2.7619,-42.2744,Pousada Guará's
223,Contamana,PE,76.77,overcast clouds,-7.3333,-75.0167,Shiringal Touristic Park
225,Balykshi,KZ,87.8,clear sky,47.0667,51.8667,Гостиница Golden Rose
229,Labuhan,ID,76.69,scattered clouds,-6.8844,112.2051,DoubleFAG
230,Winnemucca,US,87.85,clear sky,40.973,-117.7357,Winners Inn Casino
